class1991,class2000,class2011,male1,smoking1991,smoking2000,smoking2011,drink1991,drink2000,drink2011,prest00,prest91,prest11,smokdif,drinkdif
1,1,1,1,.63829786,.10416666,1.1730769,.42307693,.73076922,.23076923,25,25,25,.53477901,-.1923077
1,1,1,1.12,8.75,6,14,.80000001,1.4,2.5999999,25,25,25,5.25,1.8
4,1,1,1,0,.045454547,0,.125,0,.083333336,25,60,25,0,-.041666664
4,1,1,1.12,14.166667,16.25,13,2.5714285,2.1428571,1.8571428,25,60,25,-1.166667,-.71428573
7,1,1,1,0,0,0,0,.33333334,0,25,55,25,0,0
7,1,1,1.12,14.25,11.857142,3.375,2.75,1.125,.625,25,55,25,-10.875,-2.125
8,1,1,1,2.6666667,2.5,0,.5,0,.75,25,75,25,-2.6666667,.25
8,1,1,1.12,30,20,.5,4,2.5,3.5,25,75,25,-29.5,-.5
11,1,1,1,.7986111,1.4761904,.89403975,.52980131,.49006623,.14569536,25,32,25,.095428646,-.38410595
11,1,1,1.12,8.8205128,7.0833335,7.5476189,1.7857143,1.6666666,1.6428572,25,32,25,-1.2728939,-.14285707
13,1,1,1.12,20,0,0,1,0,0,25,49,25,-20,-1
1,1,4,1,0,0,0,0,0,0,25,25,60,0,0
1,1,4,1.12,20,10,7,2.6666667,2.6666667,2.6666667,25,25,60,-13,0
4,1,4,1,0,0,0,0,0,.5,25,60,60,0,.5
4,1,4,1.12,8.7142859,9,10.375,1.25,1.25,3.5,25,60,60,1.6607141,2.25
7,1,4,1,0,0,0,0,0,0,25,55,60,0,0
11,1,4,1,0,0,0,.625,.625,0,25,32,60,0,-.625
11,1,4,1.12,11.111111,7.625,17.333334,2.3333333,2.4444444,3.1111112,25,32,60,6.2222233,.77777791
1,1,7,1,0,0,0,0,0,0,25,25,55,0,0
1,1,7,1.12,0,20,10,0,1.5,1,25,25,55,10,1
4,1,7,1,0,0,0,.66666669,0,.16666667,25,60,55,0,-.5
4,1,7,1.12,14.8,14.2,25,2.8333333,2.3333333,3.3333333,25,60,55,10.2,.5
7,1,7,1,0,0,0,0,0,0,25,55,55,0,0
7,1,7,1.12,20,10,20,1.6666666,3,2.6666667,25,55,55,0,1.0000001
8,1,7,1,0,0,0,0,0,0,25,75,55,0,0
8,1,7,1.12,11.333333,12.5,13.333333,4,2.6666667,4,25,75,55,2,0
11,1,7,1,0,0,0,.40000001,.60000002,.60000002,25,32,55,0,.20000002
11,1,7,1.12,18,11,11.666667,1,2.5,3.5,25,32,55,-6.333333,2.5
7,1,8,1.12,10,11,25,3,2,3,25,55,75,15,0
8,1,8,1.12,3,1,10,3,2,3,25,75,75,7,0
1,1,11,1,2.5714285,0,2.4285715,.42857143,0,.85714287,25,25,32,-.14285707,.42857143
1,1,11,1.12,20,10,1,1,1,1,25,25,32,-19,0
7,1,11,1,0,0,0,0,0,0,25,55,32,0,0
8,1,11,1,0,0,0,0,0,0,25,75,32,0,0
11,1,11,1,1.5357143,1.3461539,1,.19354838,.064516127,.19354838,25,32,32,-.53571427,0
11,1,11,1.12,9.4615383,9.5714283,8.6428576,.42857143,1.7142857,1.8571428,25,32,32,-.81868076,1.4285713
13,1,11,1,,0,0,0,0,0,25,49,32,,0
1,1,13,1,0,0,0,0,0,0,25,25,49,0,0
1,1,13,1.12,0,0,0,5,5,5,25,25,49,0,0
4,1,13,1,0,0,0,0,0,0,25,60,49,0,0
4,1,13,1.12,13.444445,8.5555553,7.3636365,2.090909,1.8181819,1,25,60,49,-6.0808082,-1.090909
7,1,13,1,0,0,0,.66666669,0,0,25,55,49,0,-.66666669
7,1,13,1.12,7.5,5,5,2,1.5,.5,25,55,49,-2.5,-1.5
8,1,13,1.12,6,10,11,1.5,2,1,25,75,49,5,-.5
11,1,13,1,2.625,2.5,2.5,1.25,1.125,0,25,32,49,-.125,-1.25
11,1,13,1.12,24.5,9,6,2.5999999,2.2,1.6,25,32,49,-18.5,-.99999988
13,1,13,1,0,0,0,0,0,0,25,49,49,0,0
13,1,13,1.12,13.75,2,3.2,2.2,2,1,25,49,49,-10.55,-1.2
1,4,1,1,0,0,0,.33333334,0,0,60,25,25,0,-.33333334
1,4,1,1.12,0,,20,0,1,0,60,25,25,20,0
4,4,1,1,.80000001,2.2222223,.27272728,0,.18181819,.63636363,60,60,25,-.5272727,.63636363
4,4,1,1.12,11.833333,12.6,15.125,2.125,2.3125,3.375,60,60,25,3.291667,1.25
7,4,1,1,0,0,.33333334,0,0,0,60,55,25,.33333334,0
7,4,1,1.12,16,8,5,3.5,2,2.5,60,55,25,-11,-1
8,4,1,1,0,0,0,0,0,5,60,75,25,0,5
8,4,1,1.12,0,10,5.5,.5,1,0,60,75,25,5.5,-.5
11,4,1,1,0,0,0,.71428573,1,.5714286,60,32,25,0,-.14285713
11,4,1,1.12,10.727273,5.6363635,4.3846154,.84615386,1.0769231,.69230771,60,32,25,-6.3426576,-.15384614
1,4,4,1,0,0,0,0,0,0,60,25,60,0,0
1,4,4,1.12,0,20,8,0,0,2,60,25,60,8,2
4,4,4,1,0,0,0,.25925925,.2962963,.55555558,60,60,60,0,.29629633
4,4,4,1.12,10.615385,10.490566,10.847458,2.1016948,2.1355932,2.1355932,60,60,60,.23207283,.033898354
7,4,4,1,0,0,0,0,0,0,60,55,60,0,0
7,4,4,1.12,8.333333,2,5,1.25,2.75,1.25,60,55,60,-3.333333,0
8,4,4,1.12,10,15,15,2.25,3,4,60,75,60,5,1.75
11,4,4,1,0,0,0,0,0,.30000001,60,32,60,0,.30000001
11,4,4,1.12,9.6071424,6.6500001,9.939394,1.8484849,1.6969697,2.878788,60,32,60,.33225155,1.0303031
1,4,7,1,0,0,0,0,0,0,60,25,55,0,0
1,4,7,1.12,0,4,0,0,3,1,60,25,55,0,1
4,4,7,1,0,0,0,0,0,1,60,60,55,0,1
4,4,7,1.12,8.4615383,12.307693,11.823529,1.2941177,1.8235294,1.8235294,60,60,55,3.3619909,.52941167
7,4,7,1,0,0,0,0,0,0,60,55,55,0,0
7,4,7,1.12,15,17.5,11.25,3.25,3,2.5,60,55,55,-3.75,-.75
8,4,7,1.12,,,25,0,0,0,60,75,55,,0
11,4,7,1,0,0,0,0,0,0,60,32,55,0,0
11,4,7,1.12,8.818182,10,17.916666,1.75,2,3,60,32,55,9.098484,1.25
4,4,8,1.12,11.25,12,13.2,2.4000001,2.4000001,2.2,60,60,75,1.9499998,-.20000005
7,4,8,1.12,.5,0,.5,.5,.5,2.5,60,55,75,0,2
11,4,8,1,0,0,0,0,0,0,60,32,75,0,0
11,4,8,1.12,4,,.5,1,1,3,60,32,75,-3.5,2
1,4,11,1,0,0,0,0,0,0,60,25,32,0,0
1,4,11,1.12,10,10,5,.5,.5,1.5,60,25,32,-5,1
4,4,11,1.12,17.428572,12,7.3000002,1.2,1.5,1.8,60,60,32,-10.128572,.5999999
7,4,11,1.12,0,,0,0,0,0,60,55,32,0,0
8,4,11,1.12,8.333333,2.5,5.25,2,2.75,1.25,60,75,32,-3.083333,-.75
11,4,11,1,0,0,0,.25,.58333331,0,60,32,32,0,-.25
11,4,11,1.12,14.833333,12.833333,9.416667,1.9583334,2.0833333,2.2916667,60,32,32,-5.416666,.33333337
1,4,13,1.12,10,25,10,3,5,2,60,25,49,0,-1
4,4,13,1,0,0,0,.39393941,.60606062,.42424244,60,60,49,0,.030303031
4,4,13,1.12,9.3999996,7.6086955,5.9230771,1.6538461,2.1538463,1.9230769,60,60,49,-3.4769225,.26923072
7,4,13,1,0,0,0,.33333334,.33333334,.83333331,60,55,49,0,.49999997
8,4,13,1,0,0,0,0,0,0,60,75,49,0,0
8,4,13,1.12,8,11,5.1999998,1.8,2.2,2.5999999,60,75,49,-2.8000002,.79999995
11,4,13,1,0,0,0,0,0,0,60,32,49,0,0
11,4,13,1.12,13.333333,16.666666,11.666667,3,3.3333333,3.3333333,60,32,49,-1.666666,.33333325
1,7,1,1,.5,.5714286,.5714286,0,0,0,55,25,25,.071428597,0
4,7,1,1,0,0,0,0,0,0,55,60,25,0,0
4,7,1,1.12,13,13.666667,8.909091,1.1818181,.72727275,1.2727273,55,60,25,-4.090909,.090909123
7,7,1,1,0,0,0,.0625,0,0,55,55,25,0,-.0625
7,7,1,1.12,5.6666665,12.5,3,1.5714285,1.8571428,1.1428572,55,55,25,-2.6666665,-.42857134
8,7,1,1,0,0,0,0,0,0,55,75,25,0,0
8,7,1,1.12,,,3,1,0,0,55,75,25,,-1
11,7,1,1,.75862068,.68965518,.71875,.59375,.71875,.3125,55,32,25,-.039870679,-.28125
11,7,1,1.12,8.875,11.5,3.7777777,2.3888888,2.2777777,1.2777778,55,32,25,-5.0972223,-1.111111
13,7,1,1.12,20,4,0,0,0,0,55,49,25,-20,0
1,7,4,1,0,0,0,0,0,0,55,25,60,0,0
1,7,4,1.12,5,10,14,3.5,1.5,1,55,25,60,9,-2.5
4,7,4,1,0,0,0,0,0,.2,55,60,60,0,.2
4,7,4,1.12,7.7272725,8.454545,10,2.1666667,2,2.25,55,60,60,2.2727275,.083333254
7,7,4,1,,0,0,0,0,0,55,55,60,,0
7,7,4,1.12,7.1428571,9.666667,3.8,1.5,1.9,2.5,55,55,60,-3.3428571,1
8,7,4,1,0,0,0,0,2,2,55,75,60,0,2
8,7,4,1.12,,20,20,1,4,5,55,75,60,,4
11,7,4,1,0,0,0,0,0,0,55,32,60,0,0
11,7,4,1.12,10.25,10.555555,13.230769,2.3846154,2.0769231,2.5384614,55,32,60,2.9807692,.15384603
1,7,7,1,0,0,0,0,0,0,55,25,55,0,0
1,7,7,1.12,12.5,10,12.5,0,1.5,2,55,25,55,0,2
4,7,7,1,0,0,0,0,0,.14285715,55,60,55,0,.14285715
4,7,7,1.12,7.6428571,9.166667,6.1666665,1.3333334,2.4444444,2.3888888,55,60,55,-1.4761906,1.0555555
7,7,7,1,0,0,0,.69999999,.5,.60000002,55,55,55,0,-.099999964
7,7,7,1.12,8.4324322,11.342857,10.342105,1.9736842,2.2631578,2.8421052,55,55,55,1.9096727,.86842096
8,7,7,1,0,0,0,0,0,0,55,75,55,0,0
