A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
0,0,0,11.559809,13,1,5,1
1,0,0,11.357441,13,2,2,1
0,0,0,12.361365,8,2,5,1
0,0,0,11.721564,13,1,5,1
1,0,0,11.30467,13,2,3,1
0,0,6,10.845446,7,1,6,1
1,6,0,10.879932,7,2,5,1
0,0,0,10.635856,4,2,2,1
1,0,0,9.546813,4,1,3,1
0,8,0,11.338573,13,2,5,1
1,0,8,11.589887,13,1,5,1
0,0,1,10.981897,13,1,3,1
1,1,0,10.753638,13,2,2,1
0,0,0,11.589887,13,1,5,1
1,0,0,11.338573,13,2,5,1
0,0,0,11.302204,13,2,4,1
0,36,0,10.9032,13,2,5,1
1,0,36,9.8173847,1,1,2,1
0,0,0,11.729326,4,1,5,1
1,0,0,11.609689,7,2,5,1
3,,,10.761301,,1,1,1
0,0,0,11.891362,8,1,6,1
1,0,0,11.728037,4,2,5,1
3,0,0,10.896739,,1,3,1
0,2.9802322e-08,1,11.238751,8,1,6,1
1,1,0,11.066951,7,2,5,1
3,1,0,10.240674,,1,3,1
0,30,0,11.11642,7,2,5,1
1,10,20,10.547094,9,1,5,1
3,,,9.9648962,,2,0,1
0,10,20,11.002128,7,1,4,1
1,30,0,11.002128,8,2,5,1
3,,,10.085878,,1,0,1
0,0,0,11.330604,8,2,5,1
1,0,0,11.268728,8,1,5,1
3,0,0,10.383854,,1,1,1
0,0,0,11.119883,7,2,4,1
3,0,0,10.021271,,1,2,1
0,0,0,11.60368,7,2,5,1
1,0,0,11.487608,4,1,5,1
3,0,0,10.633449,,2,2,1
0,.5,1,10.981897,9,1,5,1
1,1.5,0,11.115429,7,2,5,1
3,,,10.1346,,2,1,1
0,0,0,11.364038,7,2,5,1
1,0,0,11.504558,7,1,5,1
3,,,10.523168,,1,,1
0,0,0,11.502875,13,2,3,1
1,0,0,12.083905,7,1,5,1
1,3,0,10.81577,13,2,2,1
0,0,3,10.885566,13,1,2,1
0,0,0,11.184422,4,1,5,1
1,0,0,10.085809,1,2,5,1
0,0,0,8.077137,8,1,3,1
1,0,0,9.4587622,13,2,5,1
3,,,8.077137,,2,0,1
0,10,0,11.338573,7,2,5,1
1,-2.3841858e-07,10,11.472103,4,1,3,1
3,10,0,10.491274,,2,3,1
0,10,0,0,,2,2,1
1,-2.3841858e-07,10,0,12,1,2,1
3,10,0,0,1,2,5,1
0,1,0,9.8927631,,2,5,1
1,2.9802322e-08,1,11.052265,7,1,5,1
3,1,0,9.7163544,,2,1,1
1,15,0,9.0595179,1,2,2,1
0,0,15,10.445812,4,1,3,1
3,15,0,9.0595179,,1,3,1
1,0,0,,13,2,4,1
0,0,0,,1,1,3,1
3,0,0,,,1,3,1
5,0,0,9.5841999,1,2,5,1
3,0,0,10.461197,13,2,4,1
0,0,0,10.527642,13,2,2,1
0,0,0,9.392662,12,1,3,1
1,0,0,10.491274,13,2,3,1
0,6,0,10.577452,4,2,3,1
1,2,4,11.348522,9,1,5,1
3,,,10.120211,,1,0,1
1,0,0,,12,2,5,1
0,0,0,,13,1,3,1
3,,,,,2,,1
0,0,0,10.97849,,1,3,1
1,0,0,10.904119,,2,5,1
3,,,10.025705,,2,0,1
0,40,0,11.285084,7,2,5,1
1,0,40,10.926388,4,1,4,1
3,40,0,10.361703,,2,2,1
2,40,0,11.285084,13,1,2,1
1,1,1,9.6473045,1,2,3,1
0,1,1,10.745916,8,1,3,1
0,10,0,9.9407835,13,2,3,1
1,0,10,10.871991,7,1,5,1
1,35,10,9.9490976,4,2,3,1
0,25,20,8.5817318,1,1,2,1
3,,,8.5817318,,2,0,1
0,15,0,10.812754,4,2,5,1
1,0,15,10.559711,4,1,3,1
0,0,0,10.933107,13,1,2,1
1,0,0,10.691945,13,2,2,1
5,,,9.9034872,,2,0,1
1,-2.3841858e-07,7,11.452184,4,1,5,1
0,7,0,10.847912,13,2,3,0
3,7,0,10.278723,12,1,5,0
0,0,0,9.392662,12,2,2,1
3,0,0,10.491274,8,2,5,1
0,0,10,10.893958,4,1,3,1
1,10,0,10.818778,13,2,3,1
0,0,0,9.7232761,13,1,3,1
1,0,0,9.7232761,1,2,3,1
3,0,0,11.05409,7,2,5,1
0,10,5,8.9871969,1,1,2,0
1,15,0,10.373491,,2,3,0
3,5,10,8.9871969,1,1,4,0
0,2.9802322e-08,1,9.7050362,1,1,2,1
1,1,0,10.606586,13,2,2,1
3,1,0,10.635856,,2,5,1
0,1,1,10.918718,13,1,2,0
1,2,0,10.874267,13,2,2,0
3,1,1,11.079061,7,1,5,0
0,1,1,10.713305,4,1,2,1
1,2,0,10.743707,13,2,3,1
3,1,1,10.662832,,1,5,1
0,0,20,10.74761,4,1,2,1
1,20,0,10.801742,,2,3,1
0,0,15,10.918718,4,1,3,0
1,15,0,10.918718,13,2,3,0
0,10,20,7.1081352,13,1,3,1
1,30,0,7.1081352,1,2,2,1
3,,,7.1081352,,1,1,1
0,2.9802322e-08,1,10.635856,13,1,5,1
1,1,0,10.606586,13,2,5,1
3,1,0,9.7050362,,2,2,1
0,0,0,9.942708,,1,3,1
1,0,0,8.5564137,1,2,2,1
3,0,0,8.5564137,,2,3,1
0,7.5,0,10.618396,13,1,5,0
1,7.5,0,10.618396,13,2,4,1
3,1.5,6,9.5805235,1,1,4,0
