A5,hh_altersmok2,smoking,hh_turnover
0,0,0,
1,0,0,
0,0,0,
0,0,0,
1,0,0,
0,0,6,
1,6,0,
0,0,0,
1,0,0,
0,8,0,
1,0,8,
0,0,1,
1,1,0,
0,0,0,
1,0,0,
0,0,0,
0,36,0,
1,0,36,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
3,0,0,
0,0,1,
1,1,0,
3,1,0,
0,20,0,
1,0,20,
3,,,
0,0,20,
1,20,0,
3,,,
0,0,0,
1,0,0,
3,0,0,
0,0,0,
3,0,0,
0,0,0,
1,0,0,
3,0,0,
0,0,1,
1,1,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
1,3,0,
0,0,3,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
3,,,
0,10,0,
1,0,10,
3,10,0,
0,10,0,
1,0,10,
3,10,0,
0,1,0,
1,0,1,
3,1,0,
1,15,0,
0,0,15,
3,15,0,
1,0,0,
0,0,0,
3,0,0,
5,0,0,
3,0,0,
0,0,0,
0,0,0,
1,0,0,
0,4,0,
1,0,4,
3,,,
1,0,0,
0,0,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,40,0,
1,0,40,
3,40,0,
2,40,0,
1,1,1,
0,1,1,
0,10,0,
1,0,10,
1,20,10,
0,10,20,
3,,,
0,15,0,
1,0,15,
0,0,0,
1,0,0,
5,,,
1,0,7,
0,7,0,
3,7,0,
0,0,0,
3,0,0,
0,0,10,
1,10,0,
0,0,0,
1,0,0,
3,0,0,
0,10,5,
1,15,0,
3,5,10,
0,0,1,
1,1,0,
3,1,0,
0,1,1,
1,2,0,
3,1,1,
0,1,1,
1,2,0,
3,1,1,
0,0,20,
1,20,0,
0,0,15,
1,15,0,
0,0,20,
1,20,0,
3,,,
0,0,1,
1,1,0,
3,1,0,
0,0,0,
1,0,0,
3,0,0,
0,6,0,
1,6,0,
3,0,6,
5,,,
7,6,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
5,,,
0,0,10,
1,10,0,
3,,,
0,0,0,
2,0,0,
0,0,0,
1,0,0,
3,0,0,
0,0,6,
1,6,0,
3,,,
0,1,0,
1,0,1,
3,1,0,
8,1,0,
0,1,1,
2,1,1,
0,0,2,
1,2,0,
3,,,
0,0,20,
5,20,0,
0,10,0,
1,0,10,
3,10,0,
7,10,0,
5,10,0,
0,45,4,
1,34,15,
3,19,30,
0,0,0,
3,0,0,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
3,0,0,
1,0,0,
0,0,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,10,
1,10,0,
3,,,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
0,0,15,
3,15,0,
0,0,0,
1,0,0,
3,0,0,
1,0,0,
0,0,0,
0,2,0,
3,1,1,
1,1,1,
0,0,0,
1,0,0,
3,0,0,
0,1,1,
1,1,1,
3,,,
0,0,0,
5,,,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
0,0,1,
1,1,0,
3,1,0,
0,2,10,
1,10,2,
3,12,0,
0,1,0,
1,0,1,
0,0,0,
1,0,0,
3,0,0,
0,1,0,
3,0,1,
7,1,0,
5,,,
0,5,0,
1,0,5,
3,,,
0,0,0,
1,0,0,
3,0,0,
0,0,0,
1,0,0,
3,,,
1,0,0,
0,0,0,
0,0,0,
1,0,0,
3,0,0,
0,0,10,
1,10,0,
3,10,0,
0,1,0,
1,0,1,
0,0,0,
1,0,0,
0,0,0,
0,0,0,
1,0,0,
0,0,0,
0,0,0,
0,1,0,
1,0,1,
0,0,0,
1,0,0,
0,0,1,
1,1,0,
0,0,0,
0,0,10,
1,10,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,5,0,
1,0,5,
3,,,
0,10,0,
1,0,10,
3,,,
0,0,10,
1,10,0,
3,10,0,
0,0,0,
1,0,0,
3,0,0,
0,0,10,
1,10,0,
3,10,0,
0,0,10,
1,10,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,10,
1,10,0,
3,,,
0,0,0,
3,0,0,
0,0,0,
1,0,0,
3,0,0,
0,0,0,
1,0,0,
3,,,
0,0,10,
1,10,0,
3,10,0,
0,0,10,
1,10,0,
0,0,0,
1,0,0,
3,0,0,
0,0,2,
1,2,0,
3,,,
1,26,0,
0,0,26,
0,0,0,
1,0,0,
3,,,
0,1,0,
1,0,1,
3,1,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
0,20,0,
1,0,20,
0,0,10,
1,10,0,
3,,,
1,0,0,
0,0,0,
3,,,
0,1,0,
3,1,0,
5,0,1,
0,0,0,
2,0,0,
1,,,
0,0,0,
5,,,
0,0,15,
1,15,0,
3,15,0,
0,0,0,
3,,,
0,0,0,
0,3,0,
1,0,3,
0,1,0,
1,0,1,
0,0,0,
1,0,0,
0,15,0,
1,0,15,
0,0,0,
1,0,0,
0,0,1,
1,1,0,
0,0,0,
0,0,1,
1,1,0,
0,0,0,
1,0,0,
1,0,0,
0,0,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,5,
1,5,0,
3,,,
0,0,0,
1,0,0,
3,0,0,
0,0,0,
1,0,0,
3,,,
0,0,9,
1,9,0,
3,9,0,
0,0,1,
1,1,0,
3,,,
1,1,0,
0,0,1,
0,0,1,
3,1,0,
0,0,0,
1,0,0,
0,40,0,
1,0,40,
0,0,20,
1,20,0,
0,0,1,
1,1,0,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
0,0,0,
1,0,0,
1,0,0,
0,0,0,
0,0,0,
3,,,
3,,,
0,0,0,
1,0,0,
3,,,
0,0,0,
1,0,0,
3,0,0,
0,0,0,
1,0,0,
3,0,0,
0,0,0,
1,0,0,
5,,,
1,0,0,
0,0,0,
3,0,0,
0,30,0,
1,0,30,
3,30,0,
0,1,0,
1,0,1,
3,1,0,
1,7,0,
0,0,7,
3,7,0,
0,0,0,
1,0,0,
3,,,
0,0,0,
0,0,0,
1,0,0,
1,5,0,
0,0,5,
0,0,0,
1,0,0,
0,20,20,
1,40,0,
3,20,20,
0,0,8,
1,8,0,
1,0,0,
0,0,0,
0,0,0,
1,0,0,
5,,,
0,0,0,
5,,,
0,0,0,
1,0,0,
0,0,13,
1,13,0,
3,,,
3,1,0,
7,1,0,
0,0,1,
1,1,0,
5,,,
0,0,0,
3,0,0,
7,0,0,
5,0,0,
0,0,0,
1,0,0,
0,0,1,
1,1,0,
0,0,20,
1,20,0,
3,,,
0,0,0,
1,0,0,
0,0,0,
