province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
ah,6,2,.0093,.0031,33,,.0512,,2004,.0512,11,11,.2,2.2,541
ah,266,49,.4373,.0806,496,6,.8155,.0099,2005,.8155,38,38,.2,7.5999999,433
ah,139,51,.2271,.0833,307,5,.5016000000000001,.0082,2006,.5016000000000001,39,39,.2,7.8000002,559
ah,194,112,.3175,.1833,320,10,.5237000000000001,.0164,2007,.5237000000000001,25,25,.2,5,418
ah,191,159,.3122,.2599,359,22,.5868,.036,2008,.5868,32,32,.2,6.4000001,255
ah,224,117,.3651,.1907,412,33,.6716,.0538,2009,.6716,50,50,.2,10,243
ah,334,147,.5448,.2398,443,55,.7226,.0897,2010,.7226,59,59,.2,11.8,240
ah,334,147,.5448,.2398,443,55,.7226,.0897,2011,.7226,,68,.2,13.6,169.67999
ah,815,200,1.3656,.3351,687,98,1.1511,.1642,2012,1.1511,,77,.2,15.400001,145.03999
ah,841,187,1.4045,.3123,815,75,1.3611,.1253,2013,1.3611,,86,.2,17.200001,120.96
bj,71,2,.4793,.0135,205,,1.3838,,2004,1.3838,11,11,18,198,541
bj,76,7,.4947,.0456,309,,2.0113,,2005,2.0113,38,38,18,684,433
bj,50,5,.3251,.0325,467,1,3.0364,.0065,2006,3.0364,39,39,18,702,559
bj,71,9,.4491,.0569,723,1,4.573,.0063,2007,4.573,25,25,18,450,418
bj,54,7,.3307,.0429,675,2,4.1335,.0122,2008,4.1335,32,32,18,576,255
bj,101,18,.5959,.1062,895,5,5.2802,.0295,2009,5.2802,50,50,18,900,243
bj,176,25,1.0028,.1425,950,15,5.4131,.0855,2010,5.4131,59,59,18,1062,240
bj,176,25,1.0028,.1425,950,15,5.4131,.0855,2011,5.4131,,68,18,1224,169.67999
bj,556,34,2.7544,.1684,1678,19,8.3127,.0941,2012,8.3127,,77,18,1386,145.03999
bj,610,38,2.9479,.1836,2011,24,9.718299999999999,.116,2013,9.718299999999999,,86,18,1548,120.96
cq,34,12,.1086,.0383,222,,.7092000000000001,,2004,.7092000000000001,11,11,3,33,541
cq,46,15,.1649,.0538,950,9,3.4055,.0323,2005,3.4055,38,38,3,114,433
cq,45,16,.1608,.0572,735,5,2.6269,.0179,2006,2.6269,39,39,3,117,559
cq,95,33,.3383,.1175,964,34,3.4331,.1211,2007,3.4331,25,25,3,75,418
cq,182,96,.6463,.3409,1262,78,4.4815,.277,2008,4.4815,32,32,3,96,255
cq,301,157,1.0602,.5530000000000001,1962,123,6.9109,.4333,2009,6.9109,50,50,3,150,243
cq,425,191,1.4865,.6681,1819,166,6.3624,.5806,2010,6.3624,59,59,3,177,240
cq,425,191,1.4865,.6681,1819,166,6.3624,.5806,2011,6.3624,,68,3,204,169.67999
cq,1618,396,5.543,1.3566,2881,512,9.8698,1.754,2012,9.8698,,77,3,231,145.03999
cq,1815,400,6.163,1.3582,3670,523,12.4618,1.7759,2013,12.4618,,86,3,258,120.96
fj,52,21,.1446,.0584,143,,.3977,,2004,.3977,11,11,9,99,541
fj,49,23,.1394,.0655,174,5,.4952,.0142,2005,.4952,38,38,9,342,433
fj,63,20,.1782,.0566,160,4,.4526,.0113,2006,.4526,39,39,9,351,559
fj,88,28,.2473,.0787,179,4,.5031,.0112,2007,.5031,25,25,9,225,418
fj,117,43,.3267,.1201,262,12,.7316,.0335,2008,.7316,32,32,9,288,255
fj,182,81,.501,.223,401,17,1.1039,.0468,2009,1.1039,50,50,9,450,243
fj,236,92,.6507,.2537,404,15,1.1139,.0414,2010,1.1139,59,59,9,531,240
fj,236,92,.6507,.2537,404,15,1.1139,.0414,2011,1.1139,,68,9,612,169.67999
fj,456,107,1.2258,.2876,804,106,2.1613,.2849,2012,2.1613,,77,9,693,145.03999
fj,412,80,1.0993,.2134,1015,72,2.7081,.1921,2013,2.7081,,86,9,774,120.96
gd,205,50,.2577,.0629,1542,,1.9386,,2004,1.9386,11,11,17,187,541
gd,376,60,.4118,.0657,4257,18,4.6627,.0197,2005,4.6627,38,38,17,646,433
gd,521,106,.5667,.1153,4312,50,4.69,.0544,2006,4.69,39,39,17,663,559
gd,758,204,.8147,.2193,3178,92,3.4157,.0989,2007,3.4157,25,25,17,425,418
gd,958,318,1.0139,.3365,3842,260,4.066,.2752,2008,4.066,32,32,17,544,255
gd,1237,434,1.2961,.4547,4044,389,4.2372,.4076,2009,4.2372,50,50,17,850,243
