class1991,class2000,class2011,male1,smoking2000,smoking2011,drink2000,drink2011,prest00,prest91,prest11
unemp,unemp,unemp,1,.10416666,1.1730769,.73076922,.23076923,25,25,25
unemp,unemp,unemp,1.12,6,14,1.4,2.5999999,25,25,25
labor,unemp,unemp,1,.045454547,0,0,.083333336,25,60,25
labor,unemp,unemp,1.12,16.25,13,2.1428571,1.8571428,25,60,25
self emp,unemp,unemp,1,0,0,.33333334,0,25,55,25
self emp,unemp,unemp,1.12,11.857142,3.375,1.125,.625,25,55,25
owner,unemp,unemp,1,2.5,0,0,.75,25,75,25
owner,unemp,unemp,1.12,20,.5,2.5,3.5,25,75,25
farmer,unemp,unemp,1,1.4761904,.89403975,.49006623,.14569536,25,32,25
farmer,unemp,unemp,1.12,7.0833335,7.5476189,1.6666666,1.6428572,25,32,25
student,unemp,unemp,1,0,0,0,0,25,49,25
student,unemp,unemp,1.12,3,4,0,.5,25,49,25
retired,unemp,unemp,1.12,0,0,0,0,25,49,25
,unemp,unemp,1,.72380954,.67521369,.38461539,.05982906,25,,25
,unemp,unemp,1.12,9.3000002,8.9411764,2.1764705,2.4117646,25,,25
unemp,unemp,labor,1,0,0,0,0,25,25,60
unemp,unemp,labor,1.12,10,7,2.6666667,2.6666667,25,25,60
labor,unemp,labor,1,0,0,0,.5,25,60,60
labor,unemp,labor,1.12,9,10.375,1.25,3.5,25,60,60
self emp,unemp,labor,1,0,0,0,0,25,55,60
farmer,unemp,labor,1,0,0,.625,0,25,32,60
farmer,unemp,labor,1.12,7.625,17.333334,2.4444444,3.1111112,25,32,60
student,unemp,labor,1,0,0,0,0,25,49,60
student,unemp,labor,1.12,6.5454545,3.9230769,.92307693,1.6923077,25,49,60
,unemp,labor,1,0,1.1111112,.22222222,.055555556,25,,60
,unemp,labor,1.12,4.0833335,8.8571424,2.2857144,1.3571428,25,,60
unemp,unemp,self emp,1,0,0,0,0,25,25,55
unemp,unemp,self emp,1.12,20,10,1.5,1,25,25,55
labor,unemp,self emp,1,0,0,0,.16666667,25,60,55
labor,unemp,self emp,1.12,14.2,25,2.3333333,3.3333333,25,60,55
self emp,unemp,self emp,1,0,0,0,0,25,55,55
self emp,unemp,self emp,1.12,10,20,3,2.6666667,25,55,55
owner,unemp,self emp,1,0,0,0,0,25,75,55
owner,unemp,self emp,1.12,12.5,13.333333,2.6666667,4,25,75,55
farmer,unemp,self emp,1,0,0,.60000002,.60000002,25,32,55
farmer,unemp,self emp,1.12,11,11.666667,2.5,3.5,25,32,55
student,unemp,self emp,1.12,10,15,1.3333334,0,25,49,55
,unemp,self emp,1,0,0,.13333334,.26666668,25,,55
,unemp,self emp,1.12,10.625,10.9,1.3,2.0999999,25,,55
self emp,unemp,owner,1.12,11,25,2,3,25,55,75
owner,unemp,owner,1.12,1,10,2,3,25,75,75
student,unemp,owner,1,0,0,0,0,25,49,75
,unemp,owner,1,0,0,.33333334,0,25,,75
,unemp,owner,1.12,15,.5,1.5,1,25,,75
student,unemp,soldier,1.12,,0,0,0,25,49,62
unemp,unemp,farmer,1,0,2.4285715,0,.85714287,25,25,32
unemp,unemp,farmer,1.12,10,1,1,1,25,25,32
self emp,unemp,farmer,1,0,0,0,0,25,55,32
owner,unemp,farmer,1,0,0,0,0,25,75,32
farmer,unemp,farmer,1,1.3461539,1,.064516127,.19354838,25,32,32
farmer,unemp,farmer,1.12,9.5714283,8.6428576,1.7142857,1.8571428,25,32,32
retired,unemp,farmer,1,0,0,0,0,25,49,32
,unemp,farmer,1,.84848487,1.1764706,.11764706,.23529412,25,,32
,unemp,farmer,1.12,10,6.8333335,2,2.6666667,25,,32
unemp,unemp,retired,1,0,0,0,0,25,25,49
unemp,unemp,retired,1.12,0,0,5,5,25,25,49
labor,unemp,retired,1,0,0,0,0,25,60,49
labor,unemp,retired,1.12,8.5555553,7.3636365,1.8181819,1,25,60,49
self emp,unemp,retired,1,0,0,0,0,25,55,49
self emp,unemp,retired,1.12,5,5,1.5,.5,25,55,49
owner,unemp,retired,1.12,10,11,2,1,25,75,49
farmer,unemp,retired,1,2.5,2.5,1.125,0,25,32,49
farmer,unemp,retired,1.12,9,6,2.2,1.6,25,32,49
student,unemp,retired,1,0,0,0,0,25,49,49
retired,unemp,retired,1,0,0,0,0,25,49,49
retired,unemp,retired,1.12,2,3.2,2,1,25,49,49
,unemp,retired,1,.24137931,.60606062,.12121212,.12121212,25,,49
,unemp,retired,1.12,8.416667,9.9285717,1.6428572,2.0714285,25,,49
unemp,unemp,,1,.91954023,,.22580644,,25,25,
unemp,unemp,,1.12,10.642858,,1.8666667,,25,25,
labor,unemp,,1,.40625,,.06666667,,25,60,
labor,unemp,,1.12,5.0588236,1,1.1578947,5,25,60,
self emp,unemp,,1,1.1764706,,.33333334,,25,55,
self emp,unemp,,1.12,8.727273,,1.4285715,,25,55,
owner,unemp,,1,0,,0,,25,75,
owner,unemp,,1.12,9,,2,,25,75,
soldier,unemp,,1.12,0,,1.5,,25,62,
farmer,unemp,,1,.85039371,,.26428571,,25,32,
farmer,unemp,,1.12,7.4109588,,1.7763158,,25,32,
student,unemp,,1,.3283582,,.15068494,,25,49,
student,unemp,,1.12,4.5166669,,.884058,,25,49,
retired,unemp,,1,.07692308,,.33333334,,25,49,
retired,unemp,,1.12,6.375,,1.8,,25,49,
,unemp,,1,1.0925111,,.25506073,,25,,
,unemp,,1.12,7.1066666,,1.5384616,,25,,
unemp,labor,unemp,1,0,0,0,0,60,25,25
unemp,labor,unemp,1.12,,20,1,0,60,25,25
labor,labor,unemp,1,2.2222223,.27272728,.18181819,.63636363,60,60,25
labor,labor,unemp,1.12,12.6,15.125,2.3125,3.375,60,60,25
self emp,labor,unemp,1,0,.33333334,0,0,60,55,25
self emp,labor,unemp,1.12,8,5,2,2.5,60,55,25
owner,labor,unemp,1,0,0,0,5,60,75,25
owner,labor,unemp,1.12,10,5.5,1,0,60,75,25
farmer,labor,unemp,1,0,0,1,.5714286,60,32,25
farmer,labor,unemp,1.12,5.6363635,4.3846154,1.0769231,.69230771,60,32,25
student,labor,unemp,1,0,0,0,0,60,49,25
student,labor,unemp,1.12,6.6666665,10.25,1,1,60,49,25
,labor,unemp,1,.06666667,0,.23529412,.29411766,60,,25
,labor,unemp,1.12,9.1052628,7.9615383,1.8846154,1.6923077,60,,25
unemp,labor,labor,1,0,0,0,0,60,25,60
unemp,labor,labor,1.12,20,8,0,2,60,25,60
labor,labor,labor,1,0,0,.2962963,.55555558,60,60,60
labor,labor,labor,1.12,10.490566,10.847458,2.1355932,2.1355932,60,60,60
self emp,labor,labor,1,0,0,0,0,60,55,60
self emp,labor,labor,1.12,2,5,2.75,1.25,60,55,60
owner,labor,labor,1.12,15,15,3,4,60,75,60
farmer,labor,labor,1,0,0,0,.30000001,60,32,60
farmer,labor,labor,1.12,6.6500001,9.939394,1.6969697,2.878788,60,32,60
student,labor,labor,1,0,0,0,.16666667,60,49,60
student,labor,labor,1.12,1.8947369,6.3333335,.81481481,2.5925925,60,49,60
,labor,labor,1,.25,0,.12903225,.096774191,60,,60
,labor,labor,1.12,7.7352943,10.144578,2.2771084,1.7590362,60,,60
unemp,labor,self emp,1,0,0,0,0,60,25,55
unemp,labor,self emp,1.12,4,0,3,1,60,25,55
labor,labor,self emp,1,0,0,0,1,60,60,55
labor,labor,self emp,1.12,12.307693,11.823529,1.8235294,1.8235294,60,60,55
self emp,labor,self emp,1,0,0,0,0,60,55,55
self emp,labor,self emp,1.12,17.5,11.25,3,2.5,60,55,55
owner,labor,self emp,1.12,,25,0,0,60,75,55
soldier,labor,self emp,1.12,,0,0,2,60,62,55
farmer,labor,self emp,1,0,0,0,0,60,32,55
farmer,labor,self emp,1.12,10,17.916666,2,3,60,32,55
student,labor,self emp,1,0,0,0,0,60,49,55
