date,API,Main Pollutant,date.sy,API.sy
6/5/2000,116,PM10,6/5/2000,93
6/6/2000,129,PM10,6/6/2000,89
6/7/2000,135,PM10,6/7/2000,106
6/8/2000,86,PM10,6/8/2000,63
6/9/2000,73,PM10,6/9/2000,60
6/10/2000,85,PM10,6/10/2000,127
6/11/2000,73,PM10,6/11/2000,98
6/12/2000,68,PM10,6/12/2000,107
6/13/2000,92,PM10,6/13/2000,78
6/14/2000,130,PM10,6/14/2000,101
6/15/2000,245,PM10,6/15/2000,110
6/16/2000,139,PM10,6/16/2000,125
6/17/2000,115,PM10,6/17/2000,117
6/18/2000,111,PM10,6/18/2000,117
6/19/2000,309,PM10,6/19/2000,104
6/20/2000,206,PM10,6/20/2000,126
6/21/2000,137,PM10,6/21/2000,115
6/22/2000,128,PM10,6/22/2000,111
6/23/2000,85,PM10,6/23/2000,88
6/24/2000,94,PM10,6/24/2000,87
6/25/2000,71,PM10,6/25/2000,69
6/26/2000,106,PM10,6/26/2000,93
6/27/2000,84,PM10,6/27/2000,88
6/28/2000,93,PM10,6/28/2000,89
6/29/2000,85,PM10,6/29/2000,84
6/30/2000,73,PM10,6/30/2000,66
7/1/2000,83,PM10,7/1/2000,62
7/2/2000,125,PM10,7/2/2000,80
7/3/2000,107,PM10,7/3/2000,68
7/4/2000,82,PM10,7/4/2000,70
7/5/2000,44,--,7/5/2000,62
7/6/2000,72,PM10,7/6/2000,72
7/7/2000,106,PM10,7/7/2000,75
7/8/2000,107,PM10,7/8/2000,89
7/9/2000,66,PM10,7/9/2000,83
7/10/2000,91,PM10,7/10/2000,75
7/11/2000,92,PM10,7/11/2000,93
7/12/2000,113,PM10,7/12/2000,59
7/13/2000,107,PM10,7/13/2000,89
7/14/2000,131,PM10,7/14/2000,82
7/15/2000,111,PM10,7/15/2000,61
7/16/2000,64,PM10,7/16/2000,69
7/17/2000,69,PM10,7/17/2000,31
7/18/2000,88,PM10,7/18/2000,59
7/19/2000,77,PM10,7/19/2000,63
7/20/2000,83,PM10,7/20/2000,52
7/21/2000,111,PM10,7/21/2000,66
7/22/2000,57,PM10,7/22/2000,57
7/23/2000,55,PM10,7/23/2000,73
7/24/2000,60,PM10,7/24/2000,75
7/25/2000,44,--,7/25/2000,62
7/26/2000,127,PM10,7/26/2000,71
7/27/2000,114,PM10,7/27/2000,55
7/28/2000,86,PM10,7/28/2000,53
7/29/2000,73,PM10,7/29/2000,61
7/30/2000,52,PM10,7/30/2000,51
7/31/2000,69,PM10,7/31/2000,78
8/1/2000,86,PM10,8/1/2000,80
8/2/2000,118,PM10,8/2/2000,76
