rank,name,rich-officer,Degree,BonPwr,Closeness,Eigenvector,Between,2StepBet,Degree,EffSize,Efficiency,Constraint,Hierarchy,Ego Betweenness,Ln(Constraint),Indirects,Density,Coreness,RSH
56,andaoquan,0,0,0,0.083333336,0,0,0,0,0,,,,0,,0,,0,0
106,baisheng,0,0.065420561,37.33840942,0.155749634,0.490047127,0,0,7,1,0.142857149,0.492711365,0,0,-0.70783174,0.857142866,0.5,0.227980375,0.5
60,baoxu,0,0.009345794,0.263327122,0.151558071,0.002631312,0,0,1,1,1,1,1,0,0,0,,0,0
94,caifu,2,0.018691588,0.091932766,0.137355581,9.78E-05,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0.045596074,0
95,caiqing,2,0.018691588,0.091932394,0.137355581,9.78E-05,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0,0.5
81,caozheng,0,0.009345794,0.097085044,0.147790059,0.000543251,0,0,1,1,1,1,1,0,0,0,,0,0
10,chaijin,1,0.028037382,1.872873664,0.173701301,0.020815227,0.105125494,0.000264504,3,2.333333254,0.777777791,0.611111104,0.052204546,2,-0.492476493,0.333333343,0.166666672,0.091192149,0.722222209
8,chaogai,0,0.074766353,38.0353241,0.156204373,0.498932391,0.025039675,0.00123435,8,2.75,0.34375,0.392857134,0.021017354,4,-0.934309244,0.75,0.375,0.182384297,0.589285731
72,chenda,0,0.028037382,0.124610759,0.086850651,-2.54E-08,0,0,3,1,0.333333343,0.92592591,0,0,-0.07696104,0.666666687,0.5,0.045596074,0.166666672
20,daizong,2,0.046728972,1.716551423,0.166149065,0.018739933,0.049550343,0.001587022,5,4.599999905,0.920000017,0.300000012,0.050385926,4,-1.203972816,0.200000003,0.050000001,0.182384297,0.349999994
49,dengfei,0,0,-6.22E-08,0.083333336,0,0,0,0,0,,,,0,,0,,0,0
79,dingdesun,2,0.018691588,0.154731601,0.143817201,0.000756054,0,0,2,1,0.5,1.125,0,0,0.117783032,0.5,0.5,0,0.5
15,dongping,2,0,1.70E-08,0.083333336,0,0,0,0,0,,,,0,,0,,0,0
108,duanjingrui,0,0,-2.50E-09,0.083333336,0,0,0,0,0,,,,0,,0,,0,0
108,duanjingzhu,0,0,-1.10E-09,0.083333336,0,0,0,0,0,,,,0,,0,,0,0
83,duqian,0,0.009345794,0.054980405,0.13753213,0.000138473,0,0,1,1,1,1,1,0,0,0,,0,0
88,duxing,0,0.018691588,0.064749062,0.117711768,2.13E-06,0.012696174,0.000176336,2,2,1,0.5,0,0,-0.693147182,0,0,0.091192149,0.5
61,fanrui,0,0.028037382,5.688239098,0.142287239,0.07387577,0.025039675,0.000352671,3,2.333333254,0.777777791,0.611111104,0.052204546,2,-0.492476493,0.333333343,0.166666672,0.091192149,0.166666672
